Serial Number,Topic Name,Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty Level
35,Pipes and Cisterns,"If a tank is filled by a pipe in 10 hours and emptied by another in 1 hours, how long will it take to fill the tank of 32 liters when both pipes are open?",3.56,5.6,7.7,0.61,Option A: 3.56,Medium
36,Profit and Loss,"Given a cost price of 67 and a profit percentage of 6%, determine the selling price.",75.22,79.75,71.02,66.97,Option C: 71.02,Easy
37,Numbers,Find the result when you add 3 and 5.,8,9,4,17,Option A: 8,Easy
38,Pipes and Cisterns,A pipe fills a tank in 6 hours and another empties it in 2 hours. Calculate the time to fill the tank of 56 liters with both pipes open.,15.19,18.43,12.66,14.0,Option D: 14.0,Medium
39,Time and Work,"A takes 7 days to finish a work and B takes 4 days. Working together, how many days will they take?",4.23,2.55,-0.43,8.36,Option B: 2.55,Easy
40,Profit and Loss,Find the selling price of a product with a cost price of 82 and a 10% profit.,87.21,91.29,90.2,96.25,Option C: 90.2,Easy
41,Average,"The average of 15, 29, and 81 is:",38.84,41.67,48.67,43.44,Option B: 41.67,Easy
42,Ratio and Proportion,"If the ratio of A to B is 2:3 and A is 26, what is B?",40.66,44.4,39.0,36.34,Option C: 39.0,Easy
43,Time and Work,How many days will it take for A and B to finish a work together if A takes 4 days and B takes 6 days?,0.12,6.68,2.4,4.85,Option C: 2.4,Medium
44,"Time, Speed, Distance",54 km distance is covered at 18 km/hr. Determine the time taken.,0.96,4.22,3.0,8.19,Option C: 3.0,Medium
45,Algebra,"What does ax + b equal if a = 6, b = 2, x = 5?",35,32,28,38,Option B: 32,Hard
46,"Time, Speed, Distance",Find the travel time for 104 km at 29 km/hr.,3.59,7.81,2.32,4.62,Option A: 3.59,Easy
47,Percentage,Calculate 19% of 178.,42.62,31.3,33.82,38.22,Option C: 33.82,Medium
48,"Time, Speed, Distance",Find the travel time for 191 km at 13 km/hr.,19.58,16.59,14.69,13.07,Option C: 14.69,Easy
49,Numbers,Find the result when you add 22 and 13.,35,38,33,42,Option A: 35,Hard
50,Percentage,Calculate 39% of 75.,29.25,37.16,27.28,30.6,Option A: 29.25,Easy
51,Ratio and Proportion,Find B given that the ratio of A to B is 5:4 and A equals 25.,17.16,24.5,22.79,20.0,Option D: 20.0,Medium
52,Average,"4, 42, and 36 have an average of:",35.94,25.81,31.31,27.33,Option D: 27.33,Hard
53,Ratio and Proportion,"If the ratio of A to B is 1:5 and A is 17, what is B?",86.14,85.0,83.25,90.0,Option B: 85.0,Hard
54,Pipes and Cisterns,"A pipe can fill a tank in 6 hours and another pipe can empty it in 1 hours. If both are open, how long will it take to fill the tank of 37 liters?",9.29,13.1,5.93,7.4,Option D: 7.4,Hard
55,Numbers,Find the result when you add 23 and 3.,34,26,22,29,Option B: 26,Medium
56,Numbers,Add 46 and 10. What do you get?,63,58,56,55,Option C: 56,Easy
57,Average,"55, 34, and 5 have an average of:",31.33,33.35,37.81,27.75,Option A: 31.33,Medium
58,Pipes and Cisterns,Determine the filling time for a tank of 47 liters given a fill rate of 8 hours and an empty rate of 5 hours.,15.67,14.06,18.42,20.42,Option A: 15.67,Hard
59,Average,"Calculate the average value of 48, 94, and 52.",66.08,73.74,63.55,64.67,Option D: 64.67,Easy
60,Pipes and Cisterns,Determine the filling time for a tank of 32 liters given a fill rate of 5 hours and an empty rate of 1 hours.,9.48,12.5,5.88,8.0,Option D: 8.0,Easy
61,"Time, Speed, Distance",Find the travel time for 131 km at 22 km/hr.,3.96,5.95,7.13,10.08,Option B: 5.95,Hard
62,Numbers,28 added to 44 equals what?,69,72,82,75,Option B: 72,Easy
63,Profit and Loss,"Given a cost price of 83 and a profit percentage of 18%, determine the selling price.",94.3,97.94,101.89,104.21,Option B: 97.94,Medium
64,"Time, Speed, Distance",Calculate the time taken to travel 61 km at a speed of 19 km/hr.,8.98,4.89,3.21,2.02,Option C: 3.21,Medium
65,"Time, Speed, Distance",Find the travel time for 131 km at 14 km/hr.,11.97,7.11,15.03,9.36,Option D: 9.36,Hard
66,Time and Work,Calculate the time for A and B to complete a work together if A takes 8 days and B takes 9 days individually.,4.24,2.18,5.89,9.54,Option A: 4.24,Easy
67,Average,"What is the mean of the numbers 75, 97, and 52?",78.73,84.4,74.67,73.09,Option C: 74.67,Easy
68,Profit and Loss,"Given a cost price of 59 and a profit percentage of 11%, determine the selling price.",60.97,67.82,73.59,65.49,Option D: 65.49,Medium
69,Percentage,47% of 93 is what?,50.94,39.18,46.05,43.71,Option D: 43.71,Medium
70,Numbers,Calculate the total of 10 plus 23.,36,43,33,32,Option C: 33,Hard
71,Algebra,"Calculate the value of ax + b for a = 9, b = 8, and x = 5.",58,48,53,60,Option C: 53,Medium
72,Average,"Find the arithmetic mean of 71, 5, and 85.",61.07,56.42,53.67,50.34,Option C: 53.67,Medium
73,Ratio and Proportion,Find B given that the ratio of A to B is 2:5 and A equals 41.,107.76,104.38,102.5,100.64,Option C: 102.5,Easy
74,Profit and Loss,"If the cost price is 85 and the profit percentage is 12%, calculate the selling price.",101.37,93.78,95.2,98.04,Option C: 95.2,Hard
75,Percentage,Calculate 7% of 127.,16.14,6.77,12.22,8.89,Option D: 8.89,Medium
76,"Time, Speed, Distance","If a vehicle travels 102 km at a speed of 29 km/hr, how long will it take to cover the distance?",8.09,1.14,3.52,4.9,Option C: 3.52,Hard
77,Time and Work,"A takes 7 days to finish a work and B takes 3 days. Working together, how many days will they take?",7.42,2.1,0.55,4.69,Option B: 2.1,Easy
78,Profit and Loss,"Given a cost price of 72 and a profit percentage of 13%, determine the selling price.",87.99,81.36,79.11,84.78,Option B: 81.36,Easy
79,Profit and Loss,"Given a cost price of 81 and a profit percentage of 6%, determine the selling price.",95.81,82.37,89.11,85.86,Option D: 85.86,Easy
80,Algebra,"What does ax + b equal if a = 2, b = 9, x = 4?",12,17,21,24,Option B: 17,Medium
81,Percentage,Calculate 5% of 122.,6.1,1.47,8.28,15.97,Option A: 6.1,Easy
82,Percentage,What is 28% of 105?,29.4,32.02,38.79,28.38,Option A: 29.4,Hard
83,Time and Work,Calculate the time for A and B to complete a work together if A takes 1 days and B takes 7 days individually.,0.88,2.29,-0.85,6.5,Option A: 0.88,Easy
84,Algebra,"Calculate the value of ax + b for a = 3, b = 10, and x = 2.",23,12,20,16,Option D: 16,Medium
85,Numbers,18 added to 13 equals what?,34,30,39,31,Option D: 31,Medium
86,Profit and Loss,"Given a cost price of 70 and a profit percentage of 13%, determine the selling price.",79.1,83.19,77.82,89.09,Option A: 79.1,Hard
87,Pipes and Cisterns,Find the time required to fill a tank of 57 liters if one pipe fills it in 7 hours and another empties it in 5 hours.,29.5,26.94,33.15,28.5,Option D: 28.5,Easy
88,Algebra,"Find the result of a * x + b given a = 6, b = 3, x = 8.",51,47,52,61,Option A: 51,Hard
89,Algebra,"What does ax + b equal if a = 5, b = 1, x = 6?",31,32,27,39,Option A: 31,Medium
90,"Time, Speed, Distance",A vehicle covers 127 km at 30 km/hr. How much time does it take?,7.16,10.19,4.23,1.95,Option C: 4.23,Medium
91,Algebra,"Calculate the value of ax + b for a = 10, b = 7, and x = 6.",75,67,68,62,Option B: 67,Medium
92,Numbers,Calculate the total of 23 plus 13.,36,39,43,31,Option A: 36,Hard
93,Average,"The average of 71, 73, and 71 is:",80.42,69.0,71.67,75.14,Option C: 71.67,Medium
94,Ratio and Proportion,A is 25 and the ratio of A to B is 4:5. What is B?,34.08,31.25,35.83,30.01,Option B: 31.25,Medium
95,Percentage,Find 9% of 61.,5.49,12.63,1.62,8.33,Option A: 5.49,Hard
96,Algebra,"If a = 1, b = 4, and x = 6, what is ax + b?",15,18,5,10,Option D: 10,Easy
97,Algebra,"Find the result of a * x + b given a = 1, b = 8, x = 9.",17,20,23,15,Option A: 17,Hard
98,"Time, Speed, Distance",Calculate the time taken to travel 86 km at a speed of 17 km/hr.,5.06,3.18,6.23,9.85,Option A: 5.06,Medium
99,Time and Work,"If A can complete a work in 5 days and B can complete it in 2 days, how many days will they take to complete the work together?",1.43,6.17,0.43,3.75,Option A: 1.43,Easy
100,Average,"Find the arithmetic mean of 30, 25, and 7.",20.67,24.53,19.46,27.25,Option A: 20.67,Easy
101,Ratio and Proportion,Calculate the value of B if A:B = 4:3 and A = 35.,26.25,23.76,30.81,27.36,Option A: 26.25,Hard
102,Pipes and Cisterns,Find the time required to fill a tank of 32 liters if one pipe fills it in 6 hours and another empties it in 3 hours.,7.91,10.67,15.32,13.64,Option B: 10.67,Medium
103,Profit and Loss,A product costs 93 and is sold at a profit of 8%. What is the selling price?,103.96,100.44,107.62,97.57,Option B: 100.44,Easy
104,Pipes and Cisterns,"A pipe can fill a tank in 7 hours and another pipe can empty it in 2 hours. If both are open, how long will it take to fill the tank of 50 liters?",12.14,10.0,8.83,14.27,Option B: 10.0,Hard
105,Profit and Loss,Find the selling price of a product with a cost price of 55 and a 16% profit.,63.8,66.39,69.93,62.63,Option A: 63.8,Hard
106,Ratio and Proportion,Find B given that the ratio of A to B is 1:3 and A equals 22.,64.87,66.0,67.88,71.48,Option B: 66.0,Medium
107,Numbers,What is the sum of 13 and 33?,46,49,55,45,Option A: 46,Hard
108,Percentage,Calculate 44% of 112.,44.96,49.28,53.05,55.76,Option B: 49.28,Medium
109,Ratio and Proportion,"If the ratio of A to B is 1:4 and A is 33, what is B?",133.28,137.39,132.0,129.62,Option C: 132.0,Easy
110,Algebra,"Given a = 7, b = 7, and x = 8, compute ax + b.",73,67,61,63,Option D: 63,Easy
111,Percentage,23% of 182 is what?,43.65,48.08,39.02,41.86,Option D: 41.86,Medium
112,Pipes and Cisterns,"If a tank is filled by a pipe in 9 hours and emptied by another in 4 hours, how long will it take to fill the tank of 45 liters when both pipes are open?",13.76,10.81,6.82,9.0,Option D: 9.0,Easy
113,Average,"The average of 72, 58, and 28 is:",52.67,47.71,55.75,61.72,Option A: 52.67,Medium
114,Average,"The average of 16, 71, and 15 is:",38.74,42.08,31.33,34.0,Option D: 34.0,Hard
115,Time and Work,"If A can complete a work in 6 days and B can complete it in 10 days, how many days will they take to complete the work together?",1.78,5.02,3.75,8.2,Option C: 3.75,Medium
116,Time and Work,"A takes 8 days to finish a work and B takes 7 days. Working together, how many days will they take?",8.44,5.63,3.73,1.18,Option C: 3.73,Easy
117,"Time, Speed, Distance","If a vehicle travels 144 km at a speed of 27 km/hr, how long will it take to cover the distance?",10.75,7.25,5.33,3.09,Option C: 5.33,Medium
118,Percentage,Determine the value of 21% of 197.,39.27,41.37,49.09,46.08,Option B: 41.37,Hard
119,Numbers,15 added to 32 equals what?,46,55,47,52,Option C: 47,Easy
120,Ratio and Proportion,"If A:B = 4:2 and A is 23, determine the value of B.",16.88,11.5,12.7,10.43,Option B: 11.5,Easy
121,Ratio and Proportion,Find B given that the ratio of A to B is 5:4 and A equals 49.,37.12,39.2,43.58,41.68,Option B: 39.2,Medium
122,Profit and Loss,A product costs 51 and is sold at a profit of 7%. What is the selling price?,57.63,51.34,61.08,54.57,Option D: 54.57,Medium
123,Profit and Loss,What would be the selling price if the cost price is 83 and profit is 18%?,93.89,104.43,101.37,97.94,Option D: 97.94,Medium
124,Pipes and Cisterns,A pipe fills a tank in 9 hours and another empties it in 5 hours. Calculate the time to fill the tank of 44 liters with both pipes open.,16.48,11.0,9.17,12.27,Option B: 11.0,Easy
125,"Time, Speed, Distance",A vehicle covers 139 km at 18 km/hr. How much time does it take?,7.72,9.31,5.35,12.81,Option A: 7.72,Easy
126,Algebra,"Calculate the value of ax + b for a = 7, b = 1, and x = 9.",64,70,63,65,Option A: 64,Medium
127,Ratio and Proportion,Find B given that the ratio of A to B is 5:1 and A equals 38.,13.2,7.6,5.08,8.87,Option B: 7.6,Medium
128,Time and Work,"Given A can do a work in 10 days and B in 5 days, find the total time they will take working together.",9.2,4.59,3.33,1.61,Option C: 3.33,Hard
129,Ratio and Proportion,Find B given that the ratio of A to B is 5:4 and A equals 24.,16.57,19.2,23.95,21.53,Option B: 19.2,Easy
130,Time and Work,"Given A can do a work in 4 days and B in 2 days, find the total time they will take working together.",-0.78,2.91,1.33,5.53,Option C: 1.33,Easy
131,Time and Work,Calculate the time for A and B to complete a work together if A takes 1 days and B takes 7 days individually.,5.91,0.88,2.06,-0.66,Option B: 0.88,Easy
132,Time and Work,How many days will it take for A and B to finish a work together if A takes 9 days and B takes 2 days?,3.34,0.15,1.64,5.84,Option C: 1.64,Hard
133,Average,"Calculate the average value of 6, 18, and 77.",31.86,37.13,33.67,42.21,Option C: 33.67,Hard
134,Ratio and Proportion,Calculate the value of B if A:B = 4:1 and A = 11.,4.6,2.75,6.81,0.27,Option B: 2.75,Medium
135,Algebra,"Given a = 9, b = 10, and x = 1, compute ax + b.",16,26,19,24,Option C: 19,Hard
136,Average,"What is the mean of the numbers 34, 16, and 41?",30.33,39.56,34.4,25.99,Option A: 30.33,Medium
137,Profit and Loss,What would be the selling price if the cost price is 82 and profit is 14%?,93.48,101.88,94.85,88.88,Option A: 93.48,Easy
138,Profit and Loss,"If the cost price is 55 and the profit percentage is 10%, calculate the selling price.",59.07,68.44,60.5,62.36,Option C: 60.5,Easy
139,Ratio and Proportion,"If A:B = 4:1 and A is 27, determine the value of B.",6.75,12.57,7.92,4.81,Option A: 6.75,Easy
140,"Time, Speed, Distance","If a vehicle travels 182 km at a speed of 22 km/hr, how long will it take to cover the distance?",8.27,5.41,13.59,10.17,Option A: 8.27,Easy
141,Time and Work,"Given A can do a work in 3 days and B in 6 days, find the total time they will take working together.",2.0,4.58,0.1,6.02,Option A: 2.0,Hard
142,Ratio and Proportion,Calculate the value of B if A:B = 5:4 and A = 23.,19.99,16.32,18.4,22.8,Option C: 18.4,Medium
143,Algebra,"Given a = 2, b = 7, and x = 7, compute ax + b.",17,21,30,24,Option B: 21,Hard
144,Profit and Loss,"If the cost price is 59 and the profit percentage is 19%, calculate the selling price.",67.76,70.21,79.48,74.51,Option B: 70.21,Easy
145,Ratio and Proportion,Find B given that the ratio of A to B is 3:5 and A equals 11.,16.93,21.04,22.68,18.33,Option D: 18.33,Medium
146,Average,"58, 7, and 50 have an average of:",41.69,36.15,46.69,38.33,Option D: 38.33,Medium
147,Profit and Loss,"Given a cost price of 74 and a profit percentage of 14%, determine the selling price.",92.58,87.94,81.19,84.36,Option D: 84.36,Medium
148,Algebra,"If a = 9, b = 2, and x = 1, what is ax + b?",10,14,11,20,Option C: 11,Easy
149,Time and Work,How many days will it take for A and B to finish a work together if A takes 3 days and B takes 10 days?,2.31,3.64,-0.65,7.09,Option A: 2.31,Medium
150,Time and Work,Calculate the time for A and B to complete a work together if A takes 6 days and B takes 6 days individually.,0.45,5.29,8.38,3.0,Option D: 3.0,Easy
151,Profit and Loss,Find the selling price of a product with a cost price of 92 and a 20% profit.,118.29,110.4,107.55,112.59,Option B: 110.4,Medium
152,Algebra,"Calculate the value of ax + b for a = 4, b = 5, and x = 2.",13,22,17,8,Option A: 13,Medium
153,Time and Work,"If A can complete a work in 9 days and B can complete it in 5 days, how many days will they take to complete the work together?",5.85,7.47,3.21,1.0,Option C: 3.21,Easy
154,"Time, Speed, Distance",Calculate the time taken to travel 100 km at a speed of 12 km/hr.,13.86,9.68,8.33,5.64,Option C: 8.33,Hard
155,Average,"47, 9, and 66 have an average of:",38.91,45.03,50.31,40.67,Option D: 40.67,Hard
156,Percentage,28% of 94 is what?,30.56,34.86,21.59,26.32,Option D: 26.32,Medium
157,Time and Work,Calculate the time for A and B to complete a work together if A takes 3 days and B takes 3 days individually.,2.69,5.61,-0.45,1.5,Option D: 1.5,Hard
158,Time and Work,"If A can complete a work in 10 days and B can complete it in 9 days, how many days will they take to complete the work together?",3.46,7.4,4.74,10.02,Option C: 4.74,Hard
159,"Time, Speed, Distance",A vehicle covers 113 km at 22 km/hr. How much time does it take?,3.58,9.91,7.05,5.14,Option D: 5.14,Medium
160,Average,"The average of 77, 89, and 12 is:",57.48,63.2,66.19,59.33,Option D: 59.33,Easy
161,Average,"Calculate the average value of 56, 49, and 3.",42.08,34.92,37.97,36.0,Option D: 36.0,Medium
162,"Time, Speed, Distance",Calculate the time taken to travel 176 km at a speed of 15 km/hr.,13.58,11.73,10.48,17.36,Option B: 11.73,Hard
163,Numbers,Find the result when you add 44 and 37.,89,81,76,82,Option B: 81,Medium
164,Ratio and Proportion,"If A:B = 3:4 and A is 47, determine the value of B.",64.51,68.44,61.26,62.67,Option D: 62.67,Hard
165,Algebra,"If a = 7, b = 2, and x = 4, what is ax + b?",35,37,30,26,Option C: 30,Hard
166,Profit and Loss,"Given a cost price of 82 and a profit percentage of 18%, determine the selling price.",96.76,95.6,103.65,98.76,Option A: 96.76,Hard
167,Pipes and Cisterns,A pipe fills a tank in 4 hours and another empties it in 5 hours. Calculate the time to fill the tank of 46 liters with both pipes open.,-43.01,-41.91,-48.83,-46.0,Option D: -46.0,Easy
168,Profit and Loss,A product costs 73 and is sold at a profit of 7%. What is the selling price?,81.06,78.11,88.04,73.9,Option B: 78.11,Medium
169,Ratio and Proportion,A is 19 and the ratio of A to B is 4:3. What is B?,14.25,11.53,15.79,18.97,Option A: 14.25,Hard
170,Algebra,"Given a = 9, b = 2, and x = 2, compute ax + b.",15,22,20,30,Option C: 20,Medium
171,Algebra,"Find the result of a * x + b given a = 4, b = 2, x = 1.",12,5,6,10,Option C: 6,Medium
172,Pipes and Cisterns,A pipe fills a tank in 9 hours and another empties it in 1 hours. Calculate the time to fill the tank of 54 liters with both pipes open.,5.37,9.74,6.75,11.73,Option C: 6.75,Hard
173,Average,"Find the arithmetic mean of 6, 57, and 9.",31.78,22.28,27.93,24.0,Option D: 24.0,Medium
174,Pipes and Cisterns,"If a tank is filled by a pipe in 2 hours and emptied by another in 1 hours, how long will it take to fill the tank of 35 liters when both pipes are open?",33.4,39.7,35.0,36.96,Option C: 35.0,Medium
175,Average,"What is the mean of the numbers 42, 58, and 61?",55.69,52.1,53.67,63.1,Option C: 53.67,Easy
176,Ratio and Proportion,"If the ratio of A to B is 4:1 and A is 26, what is B?",6.5,9.36,4.03,12.15,Option A: 6.5,Easy
177,Algebra,"Given a = 6, b = 4, and x = 9, compute ax + b.",67,53,58,61,Option C: 58,Hard
178,"Time, Speed, Distance","If a vehicle travels 183 km at a speed of 21 km/hr, how long will it take to cover the distance?",8.71,6.22,11.37,14.57,Option A: 8.71,Hard
179,"Time, Speed, Distance",Find the travel time for 165 km at 12 km/hr.,13.75,14.95,18.35,11.06,Option A: 13.75,Hard
180,Pipes and Cisterns,Determine the filling time for a tank of 37 liters given a fill rate of 4 hours and an empty rate of 5 hours.,-37.0,-31.79,-35.92,-38.47,Option A: -37.0,Medium
181,Profit and Loss,A product costs 59 and is sold at a profit of 6%. What is the selling price?,71.88,62.54,60.37,66.42,Option B: 62.54,Medium
182,Ratio and Proportion,Find B given that the ratio of A to B is 1:4 and A equals 13.,52.0,57.41,49.13,54.85,Option A: 52.0,Easy
183,Pipes and Cisterns,Determine the filling time for a tank of 40 liters given a fill rate of 9 hours and an empty rate of 5 hours.,15.79,8.86,11.09,10.0,Option D: 10.0,Easy
184,Ratio and Proportion,Calculate the value of B if A:B = 2:5 and A = 10.,22.24,26.57,30.77,25.0,Option D: 25.0,Easy
185,Numbers,Add 3 and 43. What do you get?,46,55,51,45,Option A: 46,Hard
186,Percentage,Determine the value of 43% of 107.,46.01,44.14,54.48,50.49,Option A: 46.01,Easy
187,Time and Work,"A takes 6 days to finish a work and B takes 5 days. Working together, how many days will they take?",7.39,2.73,0.48,4.33,Option B: 2.73,Easy
188,Ratio and Proportion,A is 36 and the ratio of A to B is 5:2. What is B?,14.4,20.35,16.66,12.31,Option A: 14.4,Medium
189,Profit and Loss,"If the cost price is 85 and the profit percentage is 10%, calculate the selling price.",92.0,93.5,103.35,96.44,Option B: 93.5,Easy
190,Profit and Loss,"If the cost price is 60 and the profit percentage is 10%, calculate the selling price.",72.99,63.52,66.0,69.96,Option C: 66.0,Hard
191,Profit and Loss,A product costs 90 and is sold at a profit of 14%. What is the selling price?,104.25,100.78,110.95,102.6,Option D: 102.6,Medium
192,Ratio and Proportion,"If the ratio of A to B is 4:2 and A is 36, what is B?",15.81,18.0,22.52,20.48,Option B: 18.0,Hard
193,Ratio and Proportion,"If A:B = 3:1 and A is 42, determine the value of B.",14.0,12.29,15.51,19.83,Option A: 14.0,Medium
194,Pipes and Cisterns,"A pipe can fill a tank in 8 hours and another pipe can empty it in 4 hours. If both are open, how long will it take to fill the tank of 43 liters?",13.65,8.35,10.75,15.84,Option C: 10.75,Hard
195,Time and Work,How many days will it take for A and B to finish a work together if A takes 9 days and B takes 8 days?,9.35,6.34,4.24,1.37,Option C: 4.24,Medium
196,Percentage,Find 1% of 119.,7.32,-0.13,4.86,1.19,Option D: 1.19,Easy
197,Profit and Loss,"Given a cost price of 77 and a profit percentage of 12%, determine the selling price.",83.28,86.24,95.48,89.65,Option B: 86.24,Hard
198,Average,"76, 39, and 29 have an average of:",50.12,45.46,48.0,54.73,Option C: 48.0,Hard
199,Average,"Calculate the average value of 82, 69, and 88.",75.43,87.72,84.0,79.67,Option D: 79.67,Medium
200,Ratio and Proportion,"If the ratio of A to B is 5:4 and A is 27, what is B?",27.05,20.36,21.6,22.86,Option C: 21.6,Easy
201,Ratio and Proportion,Calculate the value of B if A:B = 3:5 and A = 19.,31.67,34.46,36.83,29.97,Option A: 31.67,Hard
202,Pipes and Cisterns,A pipe fills a tank in 5 hours and another empties it in 4 hours. Calculate the time to fill the tank of 43 liters with both pipes open.,47.73,45.55,40.59,43.0,Option D: 43.0,Medium
203,Time and Work,Calculate the time for A and B to complete a work together if A takes 4 days and B takes 1 days individually.,2.84,5.28,0.8,-2.05,Option C: 0.8,Medium
204,Pipes and Cisterns,A pipe fills a tank in 2 hours and another empties it in 3 hours. Calculate the time to fill the tank of 52 liters with both pipes open.,-46.29,-49.89,-52.0,-53.79,Option C: -52.0,Hard
205,Profit and Loss,"If the cost price is 89 and the profit percentage is 18%, calculate the selling price.",100.27,111.83,105.02,106.36,Option C: 105.02,Medium
206,Numbers,Find the result when you add 2 and 43.,49,53,44,45,Option D: 45,Medium
207,Average,"16, 38, and 56 have an average of:",43.04,37.71,35.46,36.67,Option D: 36.67,Easy
208,Numbers,17 added to 39 equals what?,58,62,56,54,Option C: 56,Hard
209,Percentage,45% of 51 is what?,30.43,22.95,20.47,26.31,Option B: 22.95,Medium
210,Pipes and Cisterns,A pipe fills a tank in 1 hours and another empties it in 5 hours. Calculate the time to fill the tank of 59 liters with both pipes open.,-14.75,-10.09,-16.68,-13.29,Option A: -14.75,Medium
211,Ratio and Proportion,Find B given that the ratio of A to B is 3:1 and A equals 33.,11.0,16.28,13.33,9.32,Option A: 11.0,Medium
212,Pipes and Cisterns,"A pipe can fill a tank in 8 hours and another pipe can empty it in 2 hours. If both are open, how long will it take to fill the tank of 30 liters?",9.79,5.0,3.93,6.63,Option B: 5.0,Medium
213,Pipes and Cisterns,A pipe fills a tank in 8 hours and another empties it in 3 hours. Calculate the time to fill the tank of 38 liters with both pipes open.,7.6,9.87,5.29,12.8,Option A: 7.6,Easy
214,"Time, Speed, Distance",51 km distance is covered at 23 km/hr. Determine the time taken.,2.22,4.46,7.1,0.96,Option A: 2.22,Hard
215,Time and Work,"A takes 6 days to finish a work and B takes 7 days. Working together, how many days will they take?",4.6,3.23,8.06,0.35,Option B: 3.23,Medium
