Serial Number,Topic,Question,Answer
51,Time Speed Distance,A car is moving at a speed of 47 km/h for 4 hours. How far does it travel?,188
52,Average,"What is the average of the given numbers: [53, 71, 5, 28, 87]?",48.8
53,Time and Work,"If 4 people complete a task in 46 days, how long will it take if 12 people are involved?",15.33
54,Percentage,"If 54% of a value is 3421, what would 86% of the same value be?",69.85439999999998
55,Algebra,Determine the solution to the equation 4x + -1 = -9.,-2.0
56,Ratio and Proportion,"If the ratio 22:89 is tripled, what are the new values of a and b?",66:267
57,Numbers,Is the number 44 both prime and an integer?,No
58,Average,"What is the average of the given numbers: [67, 60, 68, 49, 39]?",56.6
59,Algebra,Determine the value of x if 8x + -6 = 7.,1.625
60,Percentage,"If 76% of a number is 8488, what is the number?",11168.42105263158
61,Algebra,Calculate x in the equation 4x + -2 = -3.,-0.25
62,Time Speed Distance,Calculate the time taken to travel 84 km at a speed of 42 km/h.,2.0
63,Pipes and Cisterns,"Calculate the total time taken to fill a tank if Pipe A fills it in 29 hours, Pipe B in 18 hours, and Pipe C empties it in 12 hours.",11.11
64,Average,"If the average of 57, 46, and 81 is 61.333333333333336, what is the total sum?",184.0
65,Percentage,Find the original value if 61% of it equals 1903.,3119.672131147541
66,Ratio and Proportion,"Given the ratio 93:16 and a = 78, what is b?",13.419354838709678
67,Profit and Loss,What is the profit/loss percentage if the cost price is 369 and the selling price is 291?,Loss of 78
68,Profit and Loss,"Calculate the profit or loss if a product is bought for 135, marked at 1324, and sold for 153.",Profit of 18
69,Algebra,"If 4x + 8 = 3, find the value of x.",-1.25
70,Time and Work,How many days will it take for 1 person to do a job if 5 people can do it in 45 days?,225
71,Profit and Loss,"If a product costs 313 and sells for 707, what is the profit/loss?",Loss of 394
72,Ratio and Proportion,Find the value of c if the ratio 91:42 = 130.0:67 and b = 60.,130.0
73,Ratio and Proportion,"If the ratio 91:95 is tripled, what are the new values of a and b?",273:285
74,Pipes and Cisterns,"Pipe A can fill a tank in 42 hours, and Pipe B in 38 hours, but Pipe C can empty it in 22 hours. Find the time taken to fill the tank if all three pipes are used.",214.1
75,Average,"Find the average of the following numbers, excluding the largest and smallest: [28, 16, 94, 71, 74].",56.6
76,Average,"Find the average of the following numbers, excluding the largest and smallest: [57, 21, 95, 95, 30].",59.6
77,Pipes and Cisterns,"Determine the time taken if Pipe A fills a tank in 28 hours, and Pipe B in 11 hours, but Pipe C empties it in 16 hours, and all three are used for 9 hours.",1.14
78,Numbers,Can 77 be both a prime and a composite number?,No
79,Algebra,"If 10x + -2 = 1, find the value of x.",0.3
80,Percentage,Calculate the percentage decrease when a value drops from 265 to 580.,-118.86792452830188
81,Time Speed Distance,"Calculate the distance covered if a car travels at 47 km/h for 6 hours, then stops for 5 hours, and continues at 35 km/h.",282
82,Profit and Loss,"Calculate the marked price if a discount of 24% leads to a selling price of 1375.6, given the cost price is 824.",Profit of 551.60
83,Profit and Loss,A product is sold at a profit percentage of 16 after buying it at 656. What is the selling price?,Profit of 162
84,Numbers,Is the difference between 12 and 72 an integer?,Yes
85,Average,"Calculate the average for the numbers: [1, 15, 48, 64, 55]",36.6
86,Time Speed Distance,Calculate the total distance if a car travels for 8 hours at a constant speed of 76 km/h.,608
87,Profit and Loss,"If a product's marked price is 1558 and it is sold at a discount of 19%, find the profit or loss.",Loss of 669
88,Average,"Find the mean value if 6 is added to each of the numbers in the set [65, 47, 84, 45, 25].",59.2
89,Pipes and Cisterns,"If Pipe A can fill a tank in 27 hours, and Pipe B in 39 hours, but Pipe C empties 0.19 of the tank in 26 hours, find the time to fill the tank.",35.96
90,Ratio and Proportion,"If the ratio of a to b is 21:65, and b = 12, what is the value of a?",3.876923076923077
91,Algebra,Determine the roots of the quadratic equation 1x² + 1x + 3 = 0.,No real roots
92,Algebra,Determine the roots of the quadratic equation 6x² + 9x + 10 = 0.,No real roots
93,Time Speed Distance,A car is moving at a speed of 36 km/h for 7 hours. How far does it travel?,252
94,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A and Pipe B take 34 and 22 hours, respectively?",13.36
95,Numbers,Is 20 a prime number?,No
96,Ratio and Proportion,"If a = 76, what is the ratio of a to b when b = 46?",201.03225806451613
97,Percentage,Find the percentage value of 477 when it is increased by 94%.,925.38
98,Profit and Loss,"Calculate the marked price if a discount of 20% leads to a selling price of 1474.4, given the cost price is 260.",Profit of 1214.40
99,Profit and Loss,A product is sold at a profit percentage of 30 after buying it at 285. What is the selling price?,Profit of 403
100,Time and Work,"If 5 people complete a task in 40 days, how long will it take if 15 people are involved?",13.33
101,Pipes and Cisterns,"Calculate the total time taken to fill a tank if Pipe A fills it in 35 hours, Pipe B in 26 hours, and Pipe C empties it in 41 hours.",14.92
102,Numbers,Is 6 a perfect square and also a prime number?,No
103,Time and Work,6 people finish a task in 28 days. How long will 1 person take?,168
104,Algebra,Find the value of x in the linear equation 10x + -3 = 8.,0.3
105,Profit and Loss,"The cost price of a product is 622, and it is sold at 674. Find the profit or loss percentage.",8.36%
106,Algebra,Calculate x: 9x + -7 = 0.,1.7777777777777777
107,Percentage,"If 99% of a number is 8219, what is the number?",8302.020202020201
108,Percentage,Calculate the percentage decrease when a value drops from 342 to 902.,-163.74269005847952
109,Algebra,Solve the quadratic equation 6x² + 6x + 6 = 0.,No real roots
110,Average,"If the average of 68, 69, and 96 is 77.66666666666667, and one number is replaced by 23, find the new average.",62.67
111,Time and Work,Calculate the time taken if 7 work for 6 days and then 3 complete the remaining work.,9.0
112,Average,"Find the average of the following numbers: [84, 73, 10, 27, 77]",54.2
113,Numbers,Is the number 32 both prime and an integer?,No
114,Average,"What is the arithmetic mean of the numbers: [37, 51, 39, 93, 21]?",48.2
115,Numbers,Determine if 29 is a prime or composite number.,Yes
116,Algebra,"For the equation 3x + -5 = 0, find x.",0.0
117,Percentage,"If a value is 746, what will 37% of it be?",2760200
118,Percentage,Calculate the percentage decrease when a value drops from 112 to 348.,-210.71428571428572
119,Numbers,Is 63 a natural number and also a prime?,Yes
120,Time Speed Distance,What is the average speed of a car that covers 300 km in 3 hours?,300
121,Pipes and Cisterns,"If Pipe A fills a tank in 13 hours and Pipe B can empty it in 41 hours, how long will it take to fill the tank if both are used together?",19.04
122,Time and Work,Calculate the number of days required for 4 to complete the same work done by 2 in 30 days.,15.0
123,Percentage,What is 97% of 834?,8089800
124,Pipes and Cisterns,"If Pipe A can fill a tank in 15 hours, and Pipe B in 45 hours, but Pipe C empties 0.61 of the tank in 14 hours, find the time to fill the tank.",20.27
125,Profit and Loss,"If a product is sold at a loss of 21%, what was its cost price if the selling price is 906?",Loss of 86
126,Ratio and Proportion,"If the ratio of a to b is 54:36, and b = 3, what is the value of a?",4.5
127,Profit and Loss,"If a product costs 385 and sells for 152, what is the profit/loss?",Loss of 233
128,Percentage,What is the final value when 80% of 783 is added to it?,1409.4
129,Average,"If the average of 92, 90, and 70 is 84.0, and one number is replaced by 57, find the new average.",72.33
130,Profit and Loss,What is the profit/loss percentage if the cost price is 647 and the selling price is 751?,Loss of 104
131,Numbers,Is 88 a natural number and also a prime?,Yes
132,Percentage,"If 325 is 93% more than another value, what is that value?",168.39378238341968
133,Numbers,Is 89 a natural number and also a prime?,Yes
134,Pipes and Cisterns,"If Pipe A fills a tank in 27 hours and Pipe B in 45 hours, how long will both pipes take together?",16.88
135,Average,"Determine the mean value of these numbers: [48, 67, 47, 61, 7]",46.0
136,Ratio and Proportion,"If the ratio of a to b is 40:75, and a = 44, what is the value of b?",82.5
137,Average,"If the average of 24, 73, and 99 is 65.33333333333333, and one number is replaced by 47, find the new average.",73.0
138,Pipes and Cisterns,"Determine the time taken if Pipe A fills a tank in 22 hours, and Pipe B in 32 hours, but Pipe C empties it in 34 hours, and all three are used for 7 hours.",0.54
139,Average,"Determine the mean of the following set of numbers [71, 57, 34, 42, 23] after increasing each by 6.",51.4
140,Algebra,Determine the roots of the quadratic equation 1x² + 3x + -2 = 0.,"(0.56, -3.56)"
141,Time Speed Distance,Determine the speed required to cover 273 km in 7 hours.,273
142,Time Speed Distance,"If a train covers 196 km at 49 km/h and then reduces speed by 15 km/h for the remaining journey, what is the total time taken?",196
143,Profit and Loss,What is the cost price if a product is sold for 392 at a profit of 33?,Profit of -264
144,Average,"What is the arithmetic mean of the numbers: [24, 27, 40, 60, 70]?",44.2
145,Ratio and Proportion,"For the ratio 16:3, what is the value of b if a = 55?",10.3125
146,Time Speed Distance,"If a vehicle accelerates from 25 km/h to 36 km/h over 5 hours, what is the distance covered in the first 1 hours?",30.5
147,Numbers,"If 3 is divisible by 7, is it a composite number?",No
148,Percentage,Calculate the percentage decrease when a value drops from 853 to 586.,31.30128956623681
149,Time Speed Distance,A car drives for 2 hours at 25 km/h. Calculate the distance traveled.,50
150,Algebra,Find the value of x in the linear equation 5x + -7 = -7.,1.4
151,Time and Work,Calculate the number of days required for 20 to complete the same work done by 10 in 37 days.,18.5
152,Percentage,Calculate the percentage increase from 547 to 922.,68.55575868372942
153,Algebra,Find the value of x in the linear equation 6x + -3 = 3.,0.5
154,Profit and Loss,"If a discount of 30% is given on 1150, and the selling price is 234, find the profit/loss.",Loss of 56
155,Time Speed Distance,"If a car accelerates from 31 km/h to 99 km/h in 9 hours, what is the total distance covered?",279
156,Time and Work,Calculate the total time if 9 work for 16 days and then 27 complete the rest of the work.,21.33
157,Profit and Loss,"If a discount of 19% is given on 1306, and the selling price is 437, find the profit/loss.",Loss of 150
158,Time Speed Distance,Determine the speed required to cover 340 km in 5 hours.,340
159,Percentage,Determine the percentage change from 688 to 737.,7.122093023255814
160,Pipes and Cisterns,Calculate the time to fill 0.29 of a tank if Pipe A fills it in 17 hours and Pipe B empties 0.71 of it in 10 hours.,24.07
161,Time and Work,Determine the time taken if 5 work half the time and 10 work the other half to complete the job in 47 days.,23.67
162,Time and Work,Calculate the time taken if 3 work for 5 days and then 1 complete the remaining work.,7.0
163,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A and Pipe B take 16 and 40 hours, respectively?",11.43
164,Numbers,Is 15 a perfect square and also a prime number?,No
165,Ratio and Proportion,"If a is 4 times b, and the ratio is 56:90, what is the value of a?",360
166,Time Speed Distance,How far will a car travel if it goes at 76 km/h for 10 hours?,760
167,Ratio and Proportion,"For the ratio 56:57, what is the value of b if a = 27?",27.482142857142858
168,Average,"If the average of 10, 1, and 68 is 26.333333333333332, what is the total sum?",79.0
169,Time Speed Distance,A car drives for 7 hours at 96 km/h. Calculate the distance traveled.,672
170,Time Speed Distance,A car is moving at a speed of 35 km/h for 3 hours. How far does it travel?,105
171,Percentage,"If 22% of a number is 5435, what is the number?",24704.545454545452
172,Ratio and Proportion,Determine the original values of a and b if their ratio is 3:7 and their sum is 10.,3:7
173,Numbers,What is the next integer after 71?,Yes
174,Pipes and Cisterns,"Pipe A can fill a tank in 31 hours, and Pipe B in 48 hours, but Pipe C can empty it in 44 hours. Find the time taken to fill the tank if all three pipes are used.",32.93
175,Numbers,Is 91 a perfect square and also a prime number?,No
176,Numbers,Is 23 a prime number if it is greater than 93?,Yes
177,Ratio and Proportion,"If the ratio of a to b is 91:13, and a = 60, what is the value of b?",8.571428571428571
178,Profit and Loss,A product is bought at 290 and sold at a profit of 118.9. What is the selling price?,Profit of 70
179,Profit and Loss,A product is bought at 515 and sold at a profit of 164.8. What is the selling price?,Profit of 103
180,Percentage,Determine the percentage change from 361 to 563.,55.95567867036011
181,Time and Work,Calculate the number of days required for 18 to complete the same work done by 9 in 43 days.,21.5
182,Percentage,Calculate the percentage decrease when a value drops from 230 to 124.,46.08695652173913
183,Numbers,Find the smallest integer greater than 89.,Yes
184,Algebra,Calculate x: 10x + 5 = 0.,0.2
185,Percentage,"If 64% of a number is added to the number, what is the result?",9198.4375
186,Average,"Calculate the geometric mean of the numbers: [5, 1, 8, 5].",3.76
187,Time and Work,Calculate the total time if 7 work for 7 days and then 21 complete the rest of the work.,9.67
188,Ratio and Proportion,"Solve for b in the ratio 45:29, when a = 98.",63.15555555555556
189,Percentage,"If 34% of a number is added to the number, what is the result?",19829.41176470588
190,Numbers,Find the smallest integer greater than 52.,Yes
191,Ratio and Proportion,Determine the original values of a and b if their ratio is 1:16 and their sum is 17.,1:16
192,Pipes and Cisterns,"Pipes A and B can fill a tank in 47 hours and 49 hours, respectively. How long will it take if both pipes are used?",23.99
193,Time Speed Distance,Determine the distance covered by a car that travels at an average speed of 15.076923076923077 km/h for 23 hours.,356
194,Percentage,"If 439 is reduced by 52%, what is the resulting value?",210.72
195,Average,"If the average of 62, 100, and 52 is 71.33333333333333, and one number is replaced by 87, find the new average.",79.67
196,Ratio and Proportion,"If a is 2 times b, and the ratio is 100:14, what is the value of a?",28
197,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A fills it in 31 hours, but Pipe B empties it in 38 hours, and both are used simultaneously?",18.36
198,Pipes and Cisterns,"Pipes A and B can fill a tank in 10 hours and 29 hours, respectively. How long will it take if both pipes are used?",7.44
199,Algebra,Solve for x in the equation 1x + 2 = 7 when 1 ≠ 0.,-2.0
200,Percentage,Calculate 78% of 437.,3408600
201,Average,"Find the mean value if 10 is added to each of the numbers in the set [1, 37, 46, 95, 59].",57.6
202,Ratio and Proportion,"Calculate the value of a if the ratio of a to b is 5:9, and the sum of a and b is 14.",5
203,Time Speed Distance,A car is moving at a speed of 24 km/h for 5 hours. How far does it travel?,120
204,Ratio and Proportion,"Given the ratio 59:96 and b = 93, find the value of a.",81.35593220338983
205,Average,"Calculate the average of the reciprocals of the numbers: [4, 5, 5, 5].",4.71
206,Ratio and Proportion,"For the ratio 79:17, what is the value of b if a = 35?",7.531645569620253
207,Algebra,"For the equation 4x + -1 = 0, find x.",2.5
208,Ratio and Proportion,"Calculate the value of a if the ratio of a to b is 14:4, and the sum of a and b is 18.",14
209,Percentage,Determine the percentage change from 126 to 942.,647.6190476190476
210,Average,"If the average of 22, 45, and ? is 70, find the missing number if one is unknown.",143
211,Percentage,Determine the percentage change from 631 to 789.,25.039619651347067
212,Profit and Loss,"If a discount of 37% is given on 1974, and the selling price is 505, find the profit/loss.",Loss of 381
213,Numbers,Find the next composite number after 15.,Yes
214,Numbers,Is the number 96 both prime and an integer?,No
215,Average,"Calculate the average for the numbers: [91, 66, 76, 4, 7]",48.8
216,Time and Work,4 people can complete a work in 35 days. How many days will 1 person take to complete the same work?,140
217,Algebra,Find the value of x in the linear equation 8x + -3 = 9.,0.375
218,Profit and Loss,"If a product costs 766 and sells for 929, what is the profit/loss?",Loss of 163
219,Percentage,Determine the percentage change from 842 to 439.,-47.86223277909738
220,Ratio and Proportion,"In a ratio of 29:9, find the value of b if a = 4.",1.2413793103448276
221,Percentage,"If a value is 323, what will 2% of it be?",64600
222,Numbers,"If 36 and 83 are integers, is their sum a natural number?",Yes
223,Algebra,Find the roots of the equation 2x² + 4x + -2 = 0.,"(0.41, -2.41)"
224,Average,"What is the average of the square of these numbers: [5, 6, 8, 9, 5]?",46.2
225,Numbers,Determine if 58 is a prime or composite number.,No
226,Time Speed Distance,What is the average speed of a car that covers 630 km in 9 hours?,630
227,Time and Work,"If 7 people can do a job in 32 days, how many days will 3 take?",74.67
228,Average,"Determine the mean of the following set of numbers [60, 47, 64, 60, 6] after increasing each by 9.",56.4
229,Average,"Calculate the harmonic mean of the following numbers: [93, 41, 55, 28].",44.92
230,Time Speed Distance,"Calculate the distance covered if a car travels at 26 km/h for 2 hours, then stops for 2 hours, and continues at 81 km/h.",52
231,Algebra,Solve the linear equation 5x + -8 = 2.,2.0
232,Pipes and Cisterns,"Pipe A fills a tank in 35 hours, Pipe B in 31 hours, and Pipe C empties it in 32 hours. If all three are used for 17 hours, how much of the tank is filled?",1.03
233,Algebra,"For the equation 3x + -8 = 0, find x.",4.333333333333333
234,Numbers,"If 60 and 41 are integers, is their sum a natural number?",Yes
235,Time and Work,Determine the time taken if 9 work half the time and 18 work the other half to complete the job in 26 days.,13.0
236,Average,"What is the average of the square of these numbers: [3, 3, 10, 8, 7]?",46.2
237,Ratio and Proportion,Determine the ratio of a to b when a = 57 and b = 6.,34.2
238,Numbers,Is 85 a prime number?,No
239,Profit and Loss,A product was bought for 812 and sold for 327. Calculate profit or loss.,Loss of 485
240,Ratio and Proportion,"If the ratio 92:89 is tripled, what are the new values of a and b?",276:267
241,Ratio and Proportion,"If the ratio 49:4 is equivalent to the ratio 41:52, find the value of b given a = 71.",3.3469387755102042
242,Percentage,Find the percentage value of 773 when it is increased by 61%.,1244.53
243,Average,Determine the average of the first 9 natural numbers.,49.6
244,Percentage,"If the original price is 976, what is 39% discount?",595.36
245,Pipes and Cisterns,"If Pipe A can fill a tank in 10 hours, and Pipe B in 20 hours, but Pipe C empties 0.32 of the tank in 37 hours, find the time to fill the tank.",15.15
246,Ratio and Proportion,Determine the original values of a and b if their ratio is 4:15 and their sum is 19.,4:15
247,Profit and Loss,Find the selling price if the cost price is 233 and the profit is 31%.,Profit of -45
248,Time Speed Distance,Determine the distance covered by a car that travels at an average speed of 40.333333333333336 km/h for 20 hours.,148
249,Numbers,Is 4 a natural number and also a prime?,Yes
250,Time Speed Distance,"If a vehicle accelerates from 22 km/h to 141 km/h over 3 hours, what is the distance covered in the first 2 hours?",163.0
251,Ratio and Proportion,"If the ratio 6:71 is tripled, what are the new values of a and b?",18:213
252,Time Speed Distance,Determine the distance covered by a train traveling at 44 km/h for 4 hours.,176
253,Time Speed Distance,A vehicle travels at 68 km/h and then slows down to 49 km/h for 1 hours. What is the total distance?,253
254,Numbers,"If 29 is divisible by 4, is it a composite number?",No
255,Time and Work,Calculate the number of days required for 14 to complete the same work done by 7 in 16 days.,8.0
256,Average,"Determine the mean of the following set of numbers [49, 87, 15, 81, 30] after increasing each by 2.",54.4
257,Time Speed Distance,"If a vehicle moves at 78 km/h for 6 hours, what is the distance covered?",468
258,Numbers,Is 78 a perfect square and also a prime number?,No
259,Average,"Find the average of the following numbers: [4, 42, 10, 21, 69]",29.2
260,Numbers,What is the next integer after 49?,Yes
261,Algebra,Determine the value of x if 7x + 8 = -10.,-2.5714285714285716
262,Percentage,Find the original value if 97% of it equals 9208.,9492.783505154639
263,Percentage,A price increased by 79% and then decreased by 58%. Find the final price.,676.62
264,Ratio and Proportion,"Given the ratio 53:57 and b = 85, find the value of a.",7.528301886792453
265,Numbers,Is the difference between 95 and 23 an integer?,Yes
266,Time and Work,How many days will it take for 1 person to do a job if 10 people can do it in 44 days?,440
267,Ratio and Proportion,"Given the ratio 14:79, find the value of c when b = 38 and a is doubled.",28
268,Numbers,Is 87 an integer?,Yes
269,Average,"Calculate the average of the reciprocals of the numbers: [5, 3, 5, 4].",4.07
270,Time and Work,"If 10 people can do 0.5 of a job in 25 days, how long will 5 take to do the entire job?",50.0
271,Numbers,Determine whether the sum of 48 and 62 is a composite number.,Yes
272,Percentage,Determine the value when 290 is increased by 69% and then decreased by 64%.,490.1
273,Percentage,Find the percentage value of 224 when it is increased by 3%.,230.72
274,Pipes and Cisterns,"If Pipe A can fill a tank in 18 hours, and Pipe B in 10 hours, but Pipe C empties 0.43 of the tank in 35 hours, find the time to fill the tank.",12.36
275,Algebra,"If 1x + 10 = 9, what is the value of x?",-1.0
276,Percentage,"If 100% of a number is added to the number, what is the result?",7426.000000000001
277,Pipes and Cisterns,"If Pipe A can fill a tank in 39 hours, and Pipe B can empty it in 42 hours, find the time required to fill the tank if both are used together for 11 hours.",0.02
278,Profit and Loss,"Calculate the marked price if a discount of 45% leads to a selling price of 1079.1000000000001, given the cost price is 772.",Profit of 307.10
279,Pipes and Cisterns,"Determine the time taken if Pipe A fills a tank in 50 hours, and Pipe B in 12 hours, but Pipe C empties it in 17 hours, and all three are used for 4 hours.",0.41
280,Numbers,Is the number 81 divisible by any number other than 1 and itself?,No
281,Ratio and Proportion,Determine the ratio of a to b when a = 81 and b = 72.,49.25675675675676
282,Profit and Loss,"If the cost price is 665 and the loss percentage is 42%, what is the selling price?",Loss of 313
283,Pipes and Cisterns,"Pipe A can fill a tank in 33 hours, and Pipe B can fill it in 38 hours. How long will it take both pipes to fill the tank together?",17.66
284,Time Speed Distance,"If a vehicle accelerates from 40 km/h to 54 km/h over 5 hours, what is the distance covered in the first 1 hours?",47.0
285,Time and Work,"If 7 can do a job in 16 days, how long will 3 take if they work twice as fast?",37.33
286,Time Speed Distance,Determine the distance covered by a car that travels at an average speed of 11.578947368421053 km/h for 15 hours.,217
287,Profit and Loss,A product is bought for 417 and sold at a profit of 22%. Find the selling price.,Profit of 433
288,Profit and Loss,A product is bought at 681 and sold at a profit of 95.34. What is the selling price?,Profit of -131
289,Ratio and Proportion,"For the ratio 53:8, what is the value of b if a = 18?",2.7169811320754715
290,Percentage,What is 7% of 629?,440300
291,Average,"Find the average of the following numbers: [22, 41, 20, 4, 76]",32.6
292,Percentage,"If 966 is reduced by 17%, what is the resulting value?",801.78
293,Time and Work,4 people can complete a work in 46 days. How many days will 1 person take to complete the same work?,184
294,Time and Work,How long will it take for 12 to complete a job if they work 0.5 of the time and 6 work the rest?,32.0
295,Algebra,Determine the solution to the equation 4x + -5 = -7.,-0.5
296,Pipes and Cisterns,"Given that Pipe A fills a tank in 37 hours and Pipe B in 46 hours, calculate the time taken when both pipes are used together.",20.51
297,Pipes and Cisterns,"If Pipe A fills a tank in 39 hours, and Pipe B can fill 0.55 of it in 25 hours, how long will it take both pipes to fill the tank?",31.15
298,Ratio and Proportion,Solve for the ratio 5:99 if a + b = 12 and a = 4.,8
299,Time Speed Distance,"If a car accelerates from 67 km/h to 128 km/h in 6 hours, what is the total distance covered?",276
300,Profit and Loss,Find the selling price if the cost price is 276 and the profit is 37%.,Profit of 563
301,Ratio and Proportion,"Given the ratio 30:74 and a = 31, what is b?",76.46666666666667
302,Ratio and Proportion,Find the new ratio if a and b are multiplied by 5 and 3 respectively.,385:129
303,Average,"Calculate the average of the reciprocals of the numbers: [10, 7, 3, 10].",5.92
304,Algebra,Solve for x: 1x + -10 = 0,10.0
305,Numbers,Is 90 a perfect square and also a prime number?,No
306,Percentage,Calculate 34% of 818 and then subtract it from the original value.,23032.35294117647
307,Average,"Find the average of [16, 20, 53, 79, 45] after removing the highest and lowest values.",39.33
308,Percentage,"If the original price is 679, what is 90% discount?",67.89999999999998
309,Time and Work,"If 10 can do 0.2 of a job in 16 days, how long will it take them to complete the whole job?",80.0
310,Time Speed Distance,Calculate the total distance if a car travels for 9 hours at a constant speed of 38 km/h.,342
311,Percentage,Calculate 30% of 813.,2439000
312,Algebra,Solve the quadratic equation 6x² + 5x + 9 = 0.,No real roots
313,Average,"What is the average of the square of these numbers: [4, 8, 3, 2, 1]?",18.8
314,Profit and Loss,What is the cost price if a product is sold for 701 at a profit of 33?,Profit of 133
315,Time Speed Distance,Determine the distance covered by a car that travels at an average speed of 12.294117647058824 km/h for 47 hours.,300
316,Time and Work,"If 3 people can do 0.4 of a job in 36 days, how long will 1 take to do the entire job?",108.0
317,Algebra,Solve for x: 10x = -5.,0.5
318,Profit and Loss,A product is bought for 935 and sold at a profit of 19%. Find the selling price.,Profit of -781
319,Pipes and Cisterns,"How long will it take to fill a tank if Pipe A and Pipe B take 14 and 44 hours, respectively?",10.62
320,Average,"If the average of 45, 76, and 23 is 48.0, and one number is replaced by 21, find the new average.",40.0
321,Pipes and Cisterns,"If Pipe A can fill a tank in 29 hours, and Pipe B in 30 hours, but Pipe C empties 0.65 of the tank in 33 hours, find the time to fill the tank.",29.34
